标题,区县,所在街道,房型,面积,朝向,月租
整租·欧四小区 1室1厅 南,虹口,鲁迅公园,1室1厅1卫,31㎡,南,3500元/月
整租·通河八村 1室0厅 南,宝山,通河,1室0厅1卫,30㎡,南,3000元/月
整租·彭浦新村 1室1厅 南,闸北,彭浦,1室1厅1卫,18㎡,南,3200元/月
整租·金塔新村 1室1厅 南,闵行,颛桥,1室1厅1卫,40㎡,南,2700元/月
整租·保利香槟苑 3室2厅 南,杨浦,东外滩,3室2厅1卫,92㎡,南,12500元/月
整租·杏花新苑 2室1厅 南,浦东,花木,2室1厅1卫,57㎡,南,5000元/月
整租·新领地 1室1厅 东,浦东,花木,1室1厅1卫,45㎡,东,4600元/月
整租·场中小区 2室1厅 南/北,闸北,彭浦,2室1厅1卫,57㎡,南 北,4000元/月
整租·浦虹苑 2室2厅 南/北,浦东,世博,2室2厅1卫,85㎡,南 北,6500元/月
整租·金桥新村四街坊(长岛路1203弄) 2室1厅 南/北,浦东,金桥,2室1厅1卫,64㎡,南 北,4600元/月
整租·南克俭小区 1室1厅 南,虹口,四川北路,1室1厅1卫,42㎡,南,4800元/月
整租·象屿品城 3室2厅 南,松江,九亭,3室2厅1卫,93㎡,南,6200元/月
整租·海桐小区 2室1厅 南,浦东,花木,2室1厅1卫,71㎡,南,7500元/月
整租·凯歌公寓 2室1厅 西南,徐汇,徐家汇,2室1厅1卫,53㎡,西南,7500元/月
整租·市光三村 1室1厅 南,杨浦,中原,1室1厅1卫,45㎡,南,4300元/月
整租·颛兴路100弄 2室1厅 南,闵行,颛桥,2室1厅1卫,56㎡,南,3500元/月
整租·普育东路24-36号 2室1厅 南,黄浦,蓬莱公园,2室1厅1卫,48㎡,南,5700元/月
整租·昌四小区 1室1厅 南,浦东,世博,1室1厅1卫,45㎡,南,3600元/月
整租·凤城二村 1室0厅 南,杨浦,控江路,1室0厅1卫,36㎡,南,3800元/月
整租·汇元坊 3室2厅 南,杨浦,黄兴公园,3室2厅2卫,133㎡,南,13500元/月
整租·和平花苑 2室2厅 南,杨浦,鞍山,2室2厅1卫,86㎡,南,9000元/月
整租·妙栏路200弄 2室1厅 南,浦东,川沙,2室1厅1卫,53㎡,南,3200元/月
整租·朱家门小区 3室1厅 南,浦东,金桥,3室1厅1卫,90㎡,南,7000元/月
整租·鞍山五村 1室0厅 南/北,杨浦,鞍山,1室0厅1卫,37㎡,南 北,4300元/月
整租·海尚乐苑 2室1厅 南/北,浦东,康桥,2室1厅1卫,78㎡,南 北,3000元/月
整租·碧云公馆 2室2厅 南,浦东,金桥,2室2厅1卫,116㎡,南,7800元/月
整租·宜川四村 1室0厅 南,普陀,甘泉宜川,1室0厅1卫,31㎡,南,2800元/月
整租·高境欣苑 4室1厅 南,宝山,高境,4室1厅2卫,123㎡,南,9200元/月
整租·爱博一村 1室1厅 南,闵行,华漕,1室1厅1卫,57㎡,南,4800元/月
整租·北茶园 1室1厅 南,杨浦,五角场,1室1厅1卫,41㎡,南,5200元/月
整租·恒升半岛 1室1厅 南,虹口,北外滩,1室1厅1卫,41㎡,南,6500元/月
整租·柏丽华庭 2室2厅 南,宝山,杨行,2室2厅2卫,98㎡,南,5500元/月
整租·工农三村 1室0厅 南,杨浦,中原,1室0厅1卫,41㎡,南,3200元/月
整租·国和苑 2室1厅 南,杨浦,中原,2室1厅1卫,56㎡,南,5200元/月
整租·鞍山四村第一小区 1室1厅 南,杨浦,鞍山,1室1厅1卫,38㎡,南,4500元/月
整租·塘桥小区 2室1厅 东南,浦东,塘桥,2室1厅1卫,44㎡,东南,4800元/月
整租·南克俭小区 1室0厅 南,虹口,四川北路,1室0厅1卫,33㎡,南,4500元/月
整租·佳宝新村 2室1厅 南,闵行,七宝,2室1厅1卫,66㎡,南,5500元/月
整租·彭新小区 1室0厅 南,闸北,彭浦,1室0厅1卫,30㎡,南,3500元/月
整租·日晖六村 1室0厅 南,徐汇,斜土路,1室0厅1卫,35㎡,南,5000元/月
整租·江杨家园 2室1厅 南,虹口,江湾镇,2室1厅1卫,71㎡,南,6500元/月
整租·运光路53号 1室0厅 南,虹口,曲阳,1室0厅1卫,32㎡,南,4100元/月
整租·杨镇新村 2室1厅 南,浦东,张江,2室1厅1卫,72㎡,南,5500元/月
整租·丽园路1032弄 1室1厅 南,黄浦,打浦桥,1室1厅1卫,39㎡,南,5100元/月
整租·上南一村 1室0厅 南,浦东,世博,1室0厅1卫,30㎡,南,3800元/月
整租·新凤城 1室1厅 南,杨浦,控江路,1室1厅1卫,55㎡,南,6800元/月
整租·新凤城 2室1厅 南/北,杨浦,控江路,2室1厅1卫,74㎡,南 北,7000元/月
整租·凤城三村 2室1厅 南/北,杨浦,控江路,2室1厅1卫,49㎡,南 北,4700元/月
整租·汤巷雅苑 2室1厅 南,浦东,康桥,2室1厅1卫,60㎡,南,5500元/月
整租·裕德大厦 2室2厅 南/西,徐汇,徐家汇,2室2厅1卫,96㎡,南 西,8200元/月
整租·书香公寓 2室1厅 南,杨浦,鞍山,2室1厅1卫,111㎡,南,11000元/月
整租·红旗三村 2室1厅 南,闵行,老闵行,2室1厅1卫,53㎡,南,3000元/月
整租·天天花园 2室2厅 东/南,黄浦,打浦桥,2室2厅2卫,128㎡,东 南,11000元/月
整租·中远两湾城 1室0厅 南,普陀,中远两湾城,1室0厅0卫,36㎡,南,1100元/月
整租·新芳邻 2室1厅 南,浦东,曹路,2室1厅1卫,87㎡,南,6000元/月
整租·财大小区 1室1厅 南,杨浦,五角场,1室1厅1卫,38㎡,南,5200元/月
整租·江南新村(徐汇) 1室0厅 南,徐汇,斜土路,1室0厅1卫,28㎡,南,4180元/月
整租·南光大楼 2室1厅 南/北,普陀,武宁,2室1厅1卫,96㎡,南 北,8200元/月
整租·鞍山四村第一小区 1室1厅 南,杨浦,鞍山,1室1厅1卫,42㎡,南,5500元/月
整租·徐家汇路454弄 1室0厅 南,黄浦,打浦桥,1室0厅1卫,34㎡,南,7500元/月
整租·宁和小区 2室1厅 南,闸北,大宁,2室1厅1卫,58㎡,南,6400元/月
整租·甘泉三村 2室0厅 南,普陀,甘泉宜川,2室0厅1卫,54㎡,南,4700元/月
整租·徐汇华园 2室2厅 南/北,徐汇,华泾,2室2厅1卫,79㎡,南 北,5500元/月
整租·万业梦立方 2室2厅 错层 南,松江,泗泾,2室2厅1卫,78㎡,南,4500元/月
整租·曹杨二村 2室0厅 南,普陀,曹杨,2室0厅1卫,45㎡,南,4600元/月
整租·合生城邦三街坊 2室2厅 南,闵行,老闵行,2室2厅1卫,104㎡,南,4800元/月
整租·松花一村 1室0厅 南,杨浦,黄兴公园,1室0厅1卫,31㎡,南,2900元/月
整租·水岸秀苑 1室1厅 南,嘉定,江桥,1室1厅1卫,54㎡,南,3300元/月
整租·意凯家苑 2室1厅 南/北,浦东,三林,2室1厅1卫,68㎡,南 北,4300元/月
整租·金杨新村九街坊 3室1厅 南,浦东,金杨,3室1厅1卫,77㎡,南,6700元/月
整租·鹏海小区 2室1厅 南,浦东,北蔡,2室1厅1卫,59㎡,南,4600元/月
整租·铁岭大楼 2室1厅 南,杨浦,鞍山,2室1厅1卫,55㎡,南,7000元/月
整租·通阁小区 1室1厅 南,闸北,西藏北路,1室1厅1卫,60㎡,南,6000元/月
整租·海霞佳苑 2室2厅 南,浦东,川沙,2室2厅1卫,83㎡,南,3000元/月
整租·艾山新村 1室1厅 南,浦东,金杨,1室1厅1卫,54㎡,南,4400元/月
整租·玉兰一村 2室1厅 南,嘉定,安亭,2室1厅1卫,63㎡,南,3000元/月
整租·上工新村 2室1厅 南,闸北,闸北公园,2室1厅1卫,51㎡,南,6300元/月
整租·康桥月苑 2室2厅 南,浦东,康桥,2室2厅1卫,72㎡,南,2600元/月
整租·周家湾小区 2室1厅 南,徐汇,龙华,2室1厅1卫,59㎡,南,5500元/月
整租·桃浦四村易居紫荆苑 3室1厅 南,普陀,桃浦,3室1厅1卫,97㎡,南,6500元/月
整租·红梅小区(嘉定) 2室1厅 南,嘉定,安亭,2室1厅1卫,68㎡,南,2600元/月
整租·绿梅一村 1室1厅 南,闵行,莘庄,1室1厅1卫,46㎡,南,3800元/月
整租·海尚康庭 2室1厅 南,浦东,康桥,2室1厅1卫,56㎡,南,3500元/月
整租·上南五村 2室1厅 南/北,浦东,世博,2室1厅1卫,51㎡,南 北,5500元/月
整租·上南十村 1室1厅 南,浦东,世博,1室1厅1卫,43㎡,南,4000元/月
整租·宁和小区 2室1厅 南,闸北,大宁,2室1厅1卫,65㎡,南,6600元/月
整租·吉浦路615弄 1室1厅 南,宝山,高境,1室1厅1卫,48㎡,南,4500元/月
整租·建业新村 1室1厅 南,浦东,南码头,1室1厅1卫,51㎡,南,4500元/月
整租·淞南大八村 2室1厅 南,宝山,淞南,2室1厅1卫,68㎡,南,4500元/月
整租·银鹿大厦 3室1厅 南,杨浦,东外滩,3室1厅1卫,143㎡,南,15000元/月
整租·银鹿大厦 3室2厅 南,杨浦,东外滩,3室2厅1卫,108㎡,南,10000元/月
整租·玉田新村 1室1厅 南,虹口,曲阳,1室1厅1卫,34㎡,南,3900元/月
整租·高行银杏苑 1室1厅 南,浦东,高行,1室1厅1卫,57㎡,南,4000元/月
