职位名称,薪资,工作经验,更新时间,学历要求,岗位评分,福利,公司名称,公司规模,公司类型,岗位链接,公司链接,公司地址,职位详情
python开发,10K-15K,3-5年,2019-08-15 18:06:54,本科,461,"五险一金,绩效奖金,餐补,通讯补助,带薪年假",全美在线(北京)教育科技股份有限公司,500-999人,上市公司,https://jobs.zhaopin.com/CC298708335J00114681915.htm,https://company.zhaopin.com/CZ298708330.htm,,
Python数据分析师助理,6K-8K,不限,2019-08-17 15:20:45,大专,460,"五险一金,绩效奖金,年底双薪,加班补助,带薪年假",知才(上海)信息技术有限公司,100-499人,国企,https://jobs.zhaopin.com/CC811211310J00265132004.htm,https://company.zhaopin.com/CZ811211310.htm,,
自动化测试工程师（python）,15K-20K,1-3年,2019-08-12 12:15:36,本科,460,"五险一金,年底双薪,带薪年假,试用期全额,大牛带队",北京柯莱特科技有限公司,1000-9999人,外商独资,https://jobs.zhaopin.com/CC120179637J00157207215.htm,https://company.zhaopin.com/CZ120179630.htm,,
python开发,8K-10K,1-3年,2019-08-20 09:44:34,本科,460,"绩效奖金,节日福利,带薪年假,全勤奖,周末双休",大查柜(上海)网络科技有限公司,500-999人,民营,https://jobs.zhaopin.com/CC424988530J00233791506.htm,https://company.zhaopin.com/CZ424988530.htm,,
python开发工程师（上海）,12K-18K,3-5年,2019-08-19 10:18:09,大专,460,"五险一金,绩效奖金,带薪年假,弹性工作,员工旅游",深圳市芒柠科技有限公司,20-99人,民营,https://jobs.zhaopin.com/CC466965980J00235529507.htm,https://company.zhaopin.com/CZ466965980.htm,,
python工程师(03),12K-18K,3-5年,2019-08-15 12:06:33,本科,460,"周末双休,五险一金,年底双薪,加班补助,节日福利",上海复深蓝软件股份有限公司,1000-9999人,上市公司,https://jobs.zhaopin.com/CC157840524J00190467905.htm,http://special.zhaopin.com/pagepublish/15784052/index.html,,
python工程师,10K-15K,1-3年,2019-08-20 09:44:30,大专,460,"五险一金,节日福利,周末双休,带薪年假,定期团建",大查柜(上海)网络科技有限公司,500-999人,民营,https://jobs.zhaopin.com/CC424988530J00186086906.htm,https://company.zhaopin.com/CZ424988530.htm,,
Python大数据开发工程师,15K-20K,3-5年,2019-08-19 10:36:07,本科,460,"五险一金,带薪年假,弹性工作,节日福利,定期体检",厦门启昂科技有限公司,20-99人,民营,https://jobs.zhaopin.com/CC448849235J00308270704.htm,https://company.zhaopin.com/CZ448849230.htm,,
日语Java/Python开发工程师-初级,5K-10K,不限,2019-08-20 22:48:57,本科,459,"加班补助,包住,交通补助,房补,住房补贴",Uniqsys优尼卡日本株式会社,20-99人,外商独资,https://jobs.zhaopin.com/CC842910190J00180734204.htm,https://company.zhaopin.com/CZ842910190.htm,,
Python 数据科学家,12K-18K,无经验,2019-08-19 08:40:21,本科,459,"五险一金,年终分红,员工旅游,高温补贴,带薪年假",上海博佳医药科技有限公司,20-99人,民营,https://jobs.zhaopin.com/CC184741610J00265500502.htm,https://company.zhaopin.com/CZ184741610.htm,,
